Title,Publisher,Description,Paid,Downloads,Views,Likes,Price,Link
Tyrannosaurus Rex 3.1,3dartstevenz,"['This Trex was sculpted in zbrush, textured in Substance Painter and Photoshop, rigged and animated in blender. \nTextures png 4096x4096. \n3 different animations: run, walk and waiting pose', 'Tyrannosaurus is a genus of large theropod dinosaur. The species Tyrannosaurus rex (rex meaning king in Latin), often called T. rex or colloquially T-Rex, is one of the best represented theropods. Tyrannosaurus lived throughout what is now western North America, on what was then an island continent known as Laramidia. Tyrannosaurus had a much wider range than other tyrannosaurids. Fossils are found in a variety of rock formations dating to the Maastrichtian age of the Upper Cretaceous period, 68 to 66 million years ago. It was the last known member of the tyrannosaurids and among the last non-avian dinosaurs to exist before the Cretaceous–Paleogene extinction event.', 'artstation', 'instagram']",1,n/a,48318,764,$14.99 ,https://sketchfab.com/3d-models/tyrannosaurus-rex-31-f1bd8fcd553241a695712edab73ad81f
Dinosaur Fossil Footprint,MADD Designs,['a photoscanned 3-toed therapod footprint.\napproxomately 12” long'],1,n/a,249,5,$6.99 ,https://sketchfab.com/3d-models/dinosaur-fossil-footprint-d2e820fd534f4796b7c45c08970563e6
Dinosaur Fossil Statue,High Sierra 3D,"['Photo-real, unlit, texturized model of a Baby Dinosaur Fossil Statue. This object was generated using photogrammetry with a DSLR camera and images edited in Light Room, compiled in Reality Capture, and re-topologized in Insta-Mesh. The mesh is edited in Agisoft, and model retextured in Reality Capture.', 'Included Files:', '3D Object File Types:', '.OBJ', '.STL', '.X3d', '.XML', 'Maps:', 'Normal', 'Bent Normal', 'Ambient Occlusion (AO)', 'Base Texture', 'Texture', 'Texture File Types:', '.PNG', '.JPG', '.TIFF', 'High-Poly Model or GLB File available upon request.', 'For more information and contact info, visit us at highsierra3d.com']",1,n/a,1951,14,$25 ,https://sketchfab.com/3d-models/dinosaur-fossil-statue-f6941f935b2a40c9a5b3b05ca0093d3e
Iguanodon skull,SenYul,"['This fossilized skull belongs to the Iguanodon, a genus of dinosaur that lived around early Cretaceous. The name means ‘iguana tooth’, and was the first recognised dinosaur, second dinosaur type to be formally named, and one of the original three used to define the Dinosauria classification. Alt+Shift+LMB to change lighting.', 'You can find this fossil and many more inside the Oxford University Museum of Natural History.', 'Photogrammetric reconstruction based on a January 2019 dataset of 191x12MP photos. Quad retopology. 5M > 45k vertex decimation. 4k PBR textures.\nThe animation aims to demonstrate the advantages of 3D scanning as a nondestructive tool to preserve, isolate, and rebuild museum exhibits.', '']",1,n/a,4608,93,$75 ,https://sketchfab.com/3d-models/iguanodon-skull-3537a5b3072b42cbbb7ea51286c75dc4
Dinosaur Fossil,digikstudio,"['Hello.\nWe make objects and backgrounds for webtoons with sketchup.', 'But you can use it anywhere else.', '-', 'This is Dinosaur Fossil ', 'I hope you use it well.If you need any help, contact me I’ll help you.', 'If you like it please click ‘Like’ :)']",1,n/a,190,4,$5 ,https://sketchfab.com/3d-models/dinosaur-fossil-7a5c162838dd4cb28d9b7c0588a4b140
Juvenile Triceratops Fossil,PhotoGramGear,"['From the Triceratops Horridus family.\nReprocessed an old set of photos, then baked and reduced it down to a realtime asset.']",1,n/a,1861,35,$25 ,https://sketchfab.com/3d-models/juvenile-triceratops-fossil-51b6e27147b043ef9fb266a7cda57e35
Dinosaur Fossil Statue,High Sierra 3D,"['Photo-real, unlit, texturized model of a Baby Dinosaur Fossil Statue. This object was generated using photogrammetry with a DSLR camera and images edited in Light Room, compiled in Reality Capture, and re-topologized in Insta-Mesh. The mesh is edited in Agisoft, and model retextured in Reality Capture.', 'Included Files:', '3D Object File Types:', '.OBJ', '.STL', '.X3d', '.XML', 'Maps:', 'Normal', 'Bent Normal', 'Ambient Occlusion (AO)', 'Base Texture', 'Texture', 'Texture File Types:', '.PNG', '.JPG', '.TIFF', 'High-Poly Model or GLB File available upon request.', 'For more information and contact info, visit us at highsierra3d.com']",1,n/a,1951,14,$25 ,https://sketchfab.com/3d-models/dinosaur-fossil-statue-f6941f935b2a40c9a5b3b05ca0093d3e
Tyrannosaurus Rex 3.1,3dartstevenz,"['This Trex was sculpted in zbrush, textured in Substance Painter and Photoshop, rigged and animated in blender. \nTextures png 4096x4096. \n3 different animations: run, walk and waiting pose', 'Tyrannosaurus is a genus of large theropod dinosaur. The species Tyrannosaurus rex (rex meaning king in Latin), often called T. rex or colloquially T-Rex, is one of the best represented theropods. Tyrannosaurus lived throughout what is now western North America, on what was then an island continent known as Laramidia. Tyrannosaurus had a much wider range than other tyrannosaurids. Fossils are found in a variety of rock formations dating to the Maastrichtian age of the Upper Cretaceous period, 68 to 66 million years ago. It was the last known member of the tyrannosaurids and among the last non-avian dinosaurs to exist before the Cretaceous–Paleogene extinction event.', 'artstation', 'instagram']",1,n/a,48318,764,$14.99 ,https://sketchfab.com/3d-models/tyrannosaurus-rex-31-f1bd8fcd553241a695712edab73ad81f
Iguanodon skull,SenYul,"['This fossilized skull belongs to the Iguanodon, a genus of dinosaur that lived around early Cretaceous. The name means ‘iguana tooth’, and was the first recognised dinosaur, second dinosaur type to be formally named, and one of the original three used to define the Dinosauria classification. Alt+Shift+LMB to change lighting.', 'You can find this fossil and many more inside the Oxford University Museum of Natural History.', 'Photogrammetric reconstruction based on a January 2019 dataset of 191x12MP photos. Quad retopology. 5M > 45k vertex decimation. 4k PBR textures.\nThe animation aims to demonstrate the advantages of 3D scanning as a nondestructive tool to preserve, isolate, and rebuild museum exhibits.', '']",1,n/a,4608,93,$75 ,https://sketchfab.com/3d-models/iguanodon-skull-3537a5b3072b42cbbb7ea51286c75dc4
Dinosaur Fossil,digikstudio,"['Hello.\nWe make objects and backgrounds for webtoons with sketchup.', 'But you can use it anywhere else.', '-', 'This is Dinosaur Fossil ', 'I hope you use it well.If you need any help, contact me I’ll help you.', 'If you like it please click ‘Like’ :)']",1,n/a,190,4,$5 ,https://sketchfab.com/3d-models/dinosaur-fossil-7a5c162838dd4cb28d9b7c0588a4b140
Dinosaur fossile,mtaesiri,['The Royal Tyrrell Museum of Palaeontology'],0,40,128,5,n/a,https://sketchfab.com/3d-models/dinosaur-fossile-eee9e9fa837a4c828a4eaea9b7ff249c
Dinosaur Fossil Footprint,MADD Designs,['a photoscanned 3-toed therapod footprint.\napproxomately 12” long'],1,n/a,249,5,$6.99 ,https://sketchfab.com/3d-models/dinosaur-fossil-footprint-d2e820fd534f4796b7c45c08970563e6
Animated triceratops skeleton,Zacxophone,"['This is a beautiful scan Licenced under CC0 Public Domain that I found here  made by The @Smithsonian Institution. ', 'I spent a couple of days cleaning and rigging the mesh to be able to animate it. I wanted to do a short looping animation by starting and finishing it with the same initial scan position', 'Made with Blender\n\nIf you have any questions, do not hesitate to contact me.', '\n ']",0,6145,24472,507,n/a,https://sketchfab.com/3d-models/animated-triceratops-skeleton-06cb55f941d94dc8b95ac46f92d89e7c
Coelophysis,Matthew Schroyer,"['Coelophysis was a carnivorous theropod that lived during the late Triassic (203-198 MYA), in what is now known as the southwestern United States. They grew up to 3 meters in size. On display at the Sam Noble Oklahoma Museum of Natural History in Norman, OK.', 'For more information on the paleobiology of Coelophysis bauri, consult the comprehensive 2009 paper by Rinehart et al.']",0,1641,11648,194,n/a,https://sketchfab.com/3d-models/coelophysis-c8fee7a21dbc465d8fae98a0df4d190e
Reptilian Shark fossil,Austin Beaulier,"['Reptilian Shark Fossil (Ichthyosaur stenopterygius) \nTaken @HMNS\nBy:Austin Beaulier\nAustinbeaulier.com', 'Created in RealityCapture by Capturing Reality from 140 images in 00h:15m:42s.']",0,1173,4532,84,n/a,https://sketchfab.com/3d-models/reptilian-shark-fossil-be0a02fccec54c10aeec203db4bd3433
Spiclypeus fossil,mikesira,"['Fossil of a Spiclypeus skull.', 'Naturhistorisches Museum Wien', '📍 Volkstheater, Vienna, Vienna, Austria']",0,391,1885,60,n/a,https://sketchfab.com/3d-models/spiclypeus-fossil-fcf4e769772743518a160b8274a9bfc8
Lowpoly Fossils - 2 - Non Commercial,Loïc Norgeot,"['CC-Attribution - Non Commercial', 'A collection of reprocessed fossils (other free assets here), ready to use as game props, particles or for optimized renderings, but “sadly” not for commercial projects as the original scans are licensed under CC Attribution - NonCommercial.', 'Each model is made of 1500 triangles, and 1024 pixels albedo and normal maps.', 'The original scans were first remeshed with mmgs, and decimated, UV unwrapped and baked in blender. Normal maps are ready to use for Unreal Engine, but don’t forget to flip their green channel in Unity!', 'Most of the original scans are from @Fossils_in_Shropshire and @steinkern, other credits to @yuelands, @LapworthMuseum, @ETMNH, , @conqueror78 and @chkalov_urup.', 'All original models licensed under CC attribution - Non Commercial.']",0,3028,10336,449,n/a,https://sketchfab.com/3d-models/lowpoly-fossils-2-non-commercial-67422af7969f478fb99684fe027317fc
Lowpoly fossils - 1,Loïc Norgeot,"['A collection of reprocessed fossils (other free assets here), ready to use as game props, particles or for optimized renderings.  Just don’t pretend they’re yours or try to resell them. Any feedback is welcome!', 'Each model is made of 1500 triangles, and 1024 pixels albedo and normal maps.', 'The original scans were first remeshed with mmgs, and decimated, UV unwrapped and baked in blender. Normal maps are ready to use for Unreal Engine, but don’t forget to flip their green channel in Unity!', 'Original scans from @dennis.brooks, @nebulousflynn, @jim.middleton, @docfx, @raymann, @ilstatemuseum, @uncgimaginglab, @isamedta, @Formwerk3D, @conqueror78, @ETMNH, @alaska_nps_geology, @osuart, @vodzurk, @jeremielouvetz.', 'All original models licensed under CC attribution.']",0,1932,8221,254,n/a,https://sketchfab.com/3d-models/lowpoly-fossils-1-3d1161a5db4244e486de6de0c66f759c
Lariosarus balsami fossil,The Watt Institution,"['A cast, from Robert Ferris Damon, of an almost complete skeleton on (Lariosarus balsami) a small marine dinosaur from 247 - 237 million years ago. The original fossil was in Frankfurt Museum but was destroyed during World War Two.']",0,96,546,22,n/a,https://sketchfab.com/3d-models/lariosarus-balsami-fossil-c1b0e6e5f0b0427480a78f2ca7b5c453
Rainbow morph animation,SenYul,"['This is a free Blender resource I created to encourage people who are just starting out with 3D animation. The basic principles shown here have a wide range of potential uses, from game design, to scientific presentation.', 'Some of the concepts include:', 'For instance, I’ve animated some of my models to demonstrate:', 'Happy modelling / scanning & animating!', '']",0,2428,12231,254,n/a,https://sketchfab.com/3d-models/rainbow-morph-animation-18c96b42cf7d433ca72df475cd6ec4d8
Tyrannosaurus rex - brain endocast - AMNH 5117,WitmerLab at Ohio University,"['We modeled the brain structure of Tyrannosaurus rex by CT scanning a fossilized braincase (AMNH FR 5117) from the collection of the American Museum of Natural History. We segmented the brain cavity and associated internal structures using Avizo, yielding what’s known as a brain endocast. We then cleaned up the model in Maya, tweaked and branded it in Zbrush, and then uploaded it to Sketchfab. Ryan Ridgely did the 3D visualization work, and Witmer and Ridgely published a scientific article on tyrannosaur brain evolution, including this specimen, in 2009 (http://bit.ly/1R8xyHE). An OBJ file can be downloaded here and, if necessary, converted to an STL for 3D printing. Not for commercial use.']",0,669,7937,60,n/a,https://sketchfab.com/3d-models/tyrannosaurus-rex-brain-endocast-amnh-5117-f4303dc6b9df423b809be241f2b73e04
Vertebrate: Coelophysis dinosaur model,Digital Atlas of Ancient Life,"['Metal model of the Late Triassic and Early Jurassic dinosaur Coelophysis on display outside of the Museum of the Earth in Ithaca, New York. 3D model by Emily Hauf.']",0,270,2697,32,n/a,https://sketchfab.com/3d-models/vertebrate-coelophysis-dinosaur-model-e20f6c50d8e34b14bcfdfcd43be7cfdc
"The Red Ravine - Rapa Rosie, Romania",Structural Modelling Group,"['Rapa Rosie is a geological and botanical reserve presenting beautiful erosional features. \nThese continental red-beds are faimous for their dinosaur fossil content (i.e. Codrea et al., 2010 - doi: 10.1016/j.palaeo.2009.10.027).']",0,81,436,13,n/a,https://sketchfab.com/3d-models/the-red-ravine-rapa-rosie-romania-6b3083525dd34344ad15db53adc7fed0
Mosquito in amber,Loïc Norgeot,"['Messing around with refractive materials!', '', 'The Mosquito scan (415k tris) is from Geoffrey Marchal.', 'Modeling:', 'Material:', 'The important parts are the roughness and normal maps, which are a mix of PBR textures (rougher edges, smoother main face), while the refractivity is just a product of tweaking Sketchfab settings: opacity set to refractive and using the object’s roughness.', '']",0,9500,55768,1700,n/a,https://sketchfab.com/3d-models/mosquito-in-amber-53a61d58c09b4d2ab30e269aa3e22078
Dinosaur Skull,bariacg,"['Dinosaur Skull 3d model in cartoon style.       \n3ds max 2020 , FBX and OBJ files     ', 'Clean topology                      \nNon-Overlap UVs                      ', 'Texture include                     \n- Base Color                        \n- Normal                            \n- Roughness                         ', '2048x2048 PNG texture                ', '2,588 poly                          \n2,595 vert                          \nIn subdivision Level 0']",1,n/a,1334,21,$19 ,https://sketchfab.com/3d-models/dinosaur-skull-7c01ac826fe84394bfe4da601bf9a506
