Title,Publisher,Description,Paid,Price,Date,Link,imgLink,Image
20 in1 Dino skeleton Collection,Zhenya86,20 in1 Dino skeleton Collection 3D model 20 in1 Dino skeleton Collection: Allosaurus Archaeopteryx Stegosaurus Brachiosaurus Plesiosaurus Ichthyosaurus Spinosaurus - 2 reconstruction Therizinosaurus Ornithomimus Pteranodon Mosasaurus Velociraptor Parasaurolophus Styracosaurus Diplodocus Dimetrodon Pachycephalosaurus Protoceratops Pliosaur All models have for subdivision topology Collection is constantly updated with new models Attention! All textures are procedurally generated and work only in the native file format (*.max),TRUE,$550,28-Nov-17,https://www.turbosquid.com/3d-models/18-in1-dino-skeleton-model-1228736,https://p.turbosquid.com/ts-thumb/6V/n9ziu7/vtOrNi9e/untitled2copy/jpg/1554013467/600x600/fit_q87/6b4d941e7ae92a6dfa29557bae7c5386422cad19/untitled2copy.jpg,0
Mammoth Anatomy (Fur),DisneyTD,"High detail and realistic Mammoth model, V-Ray 3.6 Clean Uv Model has clean topology, iIeration of smoothing. include riggid ----------------------------------- Elephant model has: 8192x8192 textures (diffuse,bump,,) Polycount (quads): main mesh: 15154 --------------------------------------------------- Unit of measurement used for the model: cm -------------------------------------------------------------- ********************************************************* I worked on a pose scene and a checkmate scenes. The pose scene is in the same position as the 01 image. The usual scene is a checkmate scene. I want you to use a normal scene. I will try to make 3D of better quality. ********************************************************* ---------------------------------------------------------------- in xgen node headA headB tail body --------------------------------------- [Anatomy] bone muscle ---------------------------------------- Rig description: *** Rig_MAINCtrl - control whole model Rig_ROOTCtrl - control jump action model rig_tophead - control rotation,move of left tophead Rig_l_tophead_01Ctrl - control rotation,move of left tophead Rig_l_arm_01Ctrl - control rotation,move of left arm Rig_l_tongue_01Ctrl - control rotation,move of left tongue Rig_l_Eye_01Ctrl - control rotation,move of left eye Rig_Eye_LookAtCtrl - control rotation,move of look at the eye Rig_Head_MasterCtrl - control rotation,move of head Rig_nose_MasterCtrl - control rotation,move of nose Rig_neck_MasterCtrl - control rotation,move of neck Rig_Clavicle_MasterCtrl - control rotation,move of Clavicle Rig_nose_MasterCtrl - control rotation,move of nose Rig_FrontLeg_MasterCtrl - control rotation,move of FrontLeg Rig_HindL_MasterCtrl - control rotation,move of HindL Rig_tailGrp_MasterCtrl - control rotation,move of tail Rig_nose_MasterCtrl - control rotation,move of nose Rig_FrontLeg_MasterCtrl - control rotation,move of FrontLeg rig_finger- control rotation,move of finger rig_reg- control rotation,move of reg Rig_nose_01_01Ctrl ~ Rig_nose_01_09Ctrl - control rotation,move of nose Rig_tail_01_01Ctrl ~ Rig_tail_01_08Ctrl - control rotation,move of tail Rig_Spine_01FKCtrl ~ Rig_Spine_04FKCtrl - control rotation,move of waist *** ---Right part Rigs are Rig_R naming------- ----------------------------------------------------------------------- Thanks for reading. Best regards, SHOW MORE +",TRUE,$299,16-Apr-19,https://www.turbosquid.com/3d-models/mammoth-anatomy-bone-3d-model-1398011,https://p.turbosquid.com/ts-thumb/pL/xB7SIq/g0REnKDY/01/jpg/1555385868/600x600/fit_q87/5689b25a0fad4e66c57b2a14c0ae97a65b337795/01.jpg,0
Tyrannosaurus Rex Skeleton Fossil Walking Pose,3d_molier International,"Tyrannosaurus Rex Skeleton Fossil extinct dangerous prehistoric predatory carnivorous reptile of the clade Dinosauria in Walking Pose. Dominant prehistoric gigantic most dangerous terrestrial vertebrate animal from the prehistoric ages (the Late Cretaceous Period). For evolution paleontology, scientific biology, animal science, prehistoric ages, museum exhibitions, paleontology animal monsters, paleontology objects, science, biology science, archeology science, animation art, fantasy art, science fiction art, animation and computer games promotional or educational projects. Tyrannosaurus Rex Skeleton Fossil Walking Pose is a high quality, photo real 3d model that will enhance detail and realism to any of your rendering projects. The model has a fully textured, detailed design that allows for close-up renders, and was originally modeled in 3ds Max 2012 and rendered with V-Ray. Renders have no postprocessing. Hope you like it! Also you can find in my collection a rigged version of this tyrannosaurus rex skeleton fossil 3d model. ********************************* Features: - High quality polygonal model, correctly scaled for an accurate representation of the original object. - Models resolutions are optimized for polygon efficiency. (In 3ds Max, the Meshsmooth function can be used to increase mesh resolution if necessary.) - All colors can be easily modified. - Model is fully textured with all materials applied. - All textures and materials are included and mapped in every format. - 3ds Max models are grouped for easy selection, and objects are logically named for ease of scene management. - No part-name confusion when importing several models into a scene. - No cleaning up necessaryjust drop your models into the scene and start rendering. - No special plugin needed to open scene. - Model does not include any backgrounds or scenes used in preview images. - Units: cm ********************************* File Formats: - 3ds Max 2012 V - Ray and standard materials scenes - OBJ(Multi Format) - 3DS(Multi Format) - Maya 2011 - Cinema 4D R14 - FBX(Multi Format) ********************************* Textures Formats: -(16.png) 4096 x 4096 ********************************* 3d Molier International is a team of 3D artists with over a decade of experience in the field. The company participated in various projects allowing us to learn our clients needs. Every model we build goes through thorough Quality assessment both visual and technical to make sure the assets look realistic and the models are of the best quality, which you can tell by looking at the renders none of the has any postprocessing. On the top of that all the models come with complete UVs and optimized topology, which allows you in no time alter geo or the textures if needed. Also check out our other models, just click on our user name to see complete gallery. 3d_molier International 2019 SHOW MORE +",TRUE,$119,17-Dec-19,https://www.turbosquid.com/3d-models/3d-tyrannosaurus-rex-skeleton-fossil-1483914,https://p.turbosquid.com/ts-thumb/gv/u3iZjX/paChrOBr/tyrannosaurusrexskeletonfossilwalkingposec4dmodel000/jpg/1576563560/600x600/fit_q87/8849df8f243c88bc3abff36e02671045c82e2469/tyrannosaurusrexskeletonfossilwalkingposec4dmodel000.jpg,0
Dinosaur Skeletons,joel3d,"Collection of dinosaur skeletons, posed - Includes 4 dinosaurs Styracosaurus, Tyranosaurus and two Diplodicus Clean topology, based on quads. UVs unwrapped. basic textures 4096x4096",TRUE,$169,08-Aug-18,https://www.turbosquid.com/3d-models/3d-model-dinosaur-skeletons-1315285,https://p.turbosquid.com/ts-thumb/5z/NFw79G/2q6jldvy/dinosaurskeletonscomp/jpg/1533765901/600x600/fit_q87/c12779ea32001ffcdf6c168913c5274853952c4b/dinosaurskeletonscomp.jpg,0
Velociraptor Anatomy 3D,DisneyTD,"******************************************************* I worked on a pose scene and a checkmate scenes. The pose scene is in the same position as the 01 image. The usual scene is a checkmate scene. I want you to use a normal scene. I will try to make 3D of better quality. ************************************************************ MAYA2018 High detail and realistic model, V-Ray 3.6 Clean Uv Model has clean topology, IIeration of smoothing. ----------------------------------- model has: 8192x8192 textures (diffuse,normal,specG) 8192x8192 .exr displace textures Polycount (quads): mesh: 273943 vertex:276741 ----------------------------------------------- model description: pose mesh base mesh muscle skeleton veins ----------------------------------- subdivable polygons in Zbrush file. -------------------------------------- Rig description: *** Rig_MAINCtrl - control whole model Rig_ROOTCtrl - control jump action model rig_tophead - control rotation,move of left tophead Rig_l_tophead_01Ctrl - control rotation,move of left tophead Rig_l_arm_01Ctrl - control rotation,move of left arm Rig_l_tongue_01Ctrl - control rotation,move of left tongue Rig_l_Eye_01Ctrl - control rotation,move of left eye Rig_Eye_LookAtCtrl - control rotation,move of look at the eye Rig_Head_MasterCtrl - control rotation,move of head Rig_nose_MasterCtrl - control rotation,move of nose Rig_neck_MasterCtrl - control rotation,move of neck Rig_Clavicle_MasterCtrl - control rotation,move of Clavicle Rig_nose_MasterCtrl - control rotation,move of nose Rig_FrontLeg_MasterCtrl - control rotation,move of FrontLeg Rig_HindL_MasterCtrl - control rotation,move of HindL Rig_tailGrp_MasterCtrl - control rotation,move of tail Rig_nose_MasterCtrl - control rotation,move of nose Rig_FrontLeg_MasterCtrl - control rotation,move of FrontLeg rig_finger- control rotation,move of finger rig_reg- control rotation,move of reg Rig_nose_01_01Ctrl ~ Rig_nose_01_09Ctrl - control rotation,move of nose Rig_tail_01_01Ctrl ~ Rig_tail_01_08Ctrl - control rotation,move of tail Rig_Spine_01FKCtrl ~ Rig_Spine_04FKCtrl - control rotation,move of waist *** ---Right part Rigs are Rig_R naming------- ----------------------------------------------------------------------- Thanks for reading. SHOW MORE +",TRUE,$499,08-Apr-19,https://www.turbosquid.com/3d-models/3d-model-v-ray-rigged-ceratosaurus-1395271,https://p.turbosquid.com/ts-thumb/LO/0oM0ib/0p4dOZGl/00/jpg/1555915261/600x600/fit_q87/062a616e894e65076ba8c0336ccc100eaa722f78/00.jpg,0
Mosasaurus Skeleton,Zhenya86,Mosasaurus skeleton subdivision model. Attention! All textures are procedurally generated and work only in the native file format (*.max),TRUE,$79,28-Nov-17,https://www.turbosquid.com/3d-models/mosasaurus-skeleton-model-1228674,https://p.turbosquid.com/ts-thumb/1E/kTYNyz/rL8WZTLF/r01/jpg/1511870712/600x600/fit_q87/ac1d12cdfc89fbe9b9bb6319e5ce42e737658301/r01.jpg,0
Brachiosaurus Skeleton,Zhenya86,Brachiosaurus Skeleton 3D model Attention! All textures are procedurally generated and work only in the native file format (*.max),TRUE,$129,28-Nov-17,https://www.turbosquid.com/3d-models/brachiosaurus-skeleton-3d-model-1228817,https://p.turbosquid.com/ts-thumb/1J/nlyIhV/C8LtpWMv/r01/jpg/1511891033/600x600/fit_q87/a1ebb13084174b915d9fd40c2ac42565b57374a6/r01.jpg,0
Plesiosaur Skeleton,Zhenya86,"This Plesiosaurus Skeleton is a high quality model with subdivision topology. Polygons: 56032 Vertices: 54834 File Formats: - 3ds Max 2014 - OBJ (Multi Format) Textures Formats: - .jpg 2048 x 2048 Units Meters. Size: X:3,993 Y:2,361 Z:1,042",TRUE,$139,24-Feb-17,https://www.turbosquid.com/3d-models/plesiosaurus-skeleton-3d-model/1127075,https://p.turbosquid.com/ts-thumb/qn/1IdQEj/mIcY1fyO/plesiosaurus_render_1200x1200/jpg/1488553734/600x600/fit_q87/845ca0f2d8231b2fac5861ccd682adbd958aeb0b/plesiosaurus_render_1200x1200.jpg,0
Mammoth Skeleton Old Bones,3d_molier International,"Mammoth Skeleton Old Bones fossil framework a paleontology museum piece. Battered bones of extinct mammoth prehistoric mammal beast that is relative to the modern elephant animals. Fossil battered framework bone skeleton of prehistoric extinct mammoth monster the member of the family Elephantidae, with curved, large, very long tusks and a long hair covering. For evolution paleontology, prehistoric animals, Earth history science, scientific biology, fantasy art, paleontology objects, animal science, biology science, archeology science, paleontology animal monsters, science fiction art, prehistoric ages, ice age period, animation art, museum exhibitions, and computer games projects. Mammoth Skeleton Old Bones is a high quality, photo real 3d model that will enhance detail and realism to any of your rendering projects. The model has a fully textured, detailed design that allows for close-up renders, and was originally modeled in 3ds Max 2014 and rendered with V-Ray. Renders have no postprocessing! Hope you like it! ***** Features: - High quality polygonal model, has real dimensions. Easy to merge into your scene. - Units: cm - The model was created with the optimal number of polygons. (The Meshsmooth modifier is assigned to the original mesh. Easy to increase mesh resolution if necessary.) - All the objects come with complete UVs - All textures and materials are included and mapped. (All colors can be easily modified.) - All objects are logically named and grouped for ease of objects selection and scene management. - No part-name confusion when importing several models into a scene. - No cleaning up necessary (Model does not include any backgrounds or scenes used in preview images.) - just drop model into your scene. - No special plugin needed to open scene. ***** File Formats: - 3ds Max 2014 V - Ray and standard materials scenes - Blender 2.8 Eevee materials scene - Maya 2016 V-Ray, Hardware and Redshift materials scenes - Cinema 4D R14 V-Ray and Standard materials scene - Modo 10.2 Standard materials scene - OBJ, 3DS, FBX (Multi Formats) ***** Textures Formats: - 2 exr (4096x4096) - 10 png (4096x4096) ***** 3d Molier International is a team of 3D artists with over a 15 years of experience. The company participated in various projects allowing us to learn our clients needs. Every model we build goes through thorough Quality assessment both visual and technical to make sure the assets look realistic and the models are of the best quality, which you can tell by looking at the renders - none of the has any postprocessing. We produce 3D models. This is our main activity. Our goal is to create a 3D copy of all objects on the world. Buy 3D models from professionals! Also check out our other models, just click on our user name to see complete gallery. (c) 3d_molier International - 2021 SHOW MORE +",TRUE,$149,13-Oct-21,https://www.turbosquid.com/3d-models/3d-mammoth-skeleton-old-bones-1800442,https://p.turbosquid.com/ts-thumb/8C/PnWHpS/Mo/mammothskeletonoldbonesmb3dmodel000/jpg/1634076883/600x600/fit_q87/94d53c3ac786431c844fd95f0c506adf483d6210/mammothskeletonoldbonesmb3dmodel000.jpg,0
Triceratops Skeleton,3d_molier International,"Triceratops Skeleton of extinct giant herbivore dinosaur a genus of herbivorous ceratopsid dinosaur. Triceratops dino animal which existed from the late Maastrichtian stage of the late Cretaceous period to the CretaceousPaleogene period. For evolution paleontology, scientific biology, animal science, prehistoric ages, museum exhibitions, paleontology animal monsters, paleontology objects, science, biology science, archeology science, animation art, fantasy art, science fiction art, animation and computer games promotional or educational projects. Triceratops Skeleton is a high quality, photo real 3d model that will enhance detail and realism to any of your rendering projects. The model has a fully textured, detailed design that allows for close-up renders, and was originally modeled in 3ds Max 2012 and rendered with V-Ray. Renders have no postprocessing. Hope you like it! Also you can find in my collection a rigged version of this triceratops skeleton 3d model. ********************************* Features: - High quality polygonal model, correctly scaled for an accurate representation of the original object. - Models resolutions are optimized for polygon efficiency. (In 3ds Max, the Meshsmooth function can be used to increase mesh resolution if necessary.) - All colors can be easily modified. - Model is fully textured with all materials applied. - All textures and materials are included and mapped in every format. - 3ds Max models are grouped for easy selection, and objects are logically named for ease of scene management. - No part-name confusion when importing several models into a scene. - No cleaning up necessaryjust drop your models into the scene and start rendering. - No special plugin needed to open scene. - Model does not include any backgrounds or scenes used in preview images. - Units: cm ********************************* File Formats: - 3ds Max 2012 V - Ray and standard materials scenes - OBJ(Multi Format) - 3DS(Multi Format) - Maya 2011 - Cinema 4D R14 - FBX(Multi Format) ********************************* Textures Formats: - 18.png (4096x4096) - 2.exr (4096x4096) ********************************* 3d Molier International is a team of 3D artists with over a decade of experience in the field. The company participated in various projects allowing us to learn our clients needs. Every model we build goes through thorough Quality assessment both visual and technical to make sure the assets look realistic and the models are of the best quality, which you can tell by looking at the renders none of the has any postprocessing. On the top of that all the models come with complete UVs and optimized topology, which allows you in no time alter geo or the textures if needed. We produce 3D models specifically for Turbosquid. This is our main activity. Buy 3D models from professionals! Also check out our other models, just click on our user name to see complete gallery. 3d_molier International 2020 SHOW MORE +",TRUE,$99,05-Feb-20,https://www.turbosquid.com/3d-models/triceratops-skeleton-3d-model-1505921,https://p.turbosquid.com/ts-thumb/Ur/q9xEVj/YOymJxJb/triceratopsskeletonmb3dmodel000/jpg/1580842635/600x600/fit_q87/c361061321efdb767eaaa68fa330b46ca7de662d/triceratopsskeletonmb3dmodel000.jpg,0
